SystemID,Region,Constellation,Name,Security,Neighbors
30001394,Lonetrek,Sela,Korama,0.77,30001361:30001391:30001393:30001395:30001396
30001395,Lonetrek,Sela,Ylandoki,0.83,30001393:30001394:30001396:30001397
30001404,Lonetrek,Karnola,Airkio,0.85,30001375:30001405:30001406:30001408:30011407
30001406,Lonetrek,Karnola,Kamokor,0.69,30001404:30001405:30001408
30001407,Lonetrek,Karnola,Todaki,1.00,30001405
30001408,Lonetrek,Karnola,Ruvas,0.78,30001404:30001405:30001406:30001409
30002643,Sinq Laison,Gallente Border Zone,Faurent,0.54,30002642:30002644:30002645:30002646
30002647,Sinq Laison,Gallente Border Zone,Ignoitton,0.44,30002642:30002645
30002751,The Citadel,Arekin,Kaimon,0.69,30002749:30002750:30002754
30002752,The Citadel,Arekin,Ahynada,0.80,30001379:30002749:30002750:30002775:30031392
30002753,The Citadel,Arekin,Aikoro,0.77,30001364:30001365:30002750:30002754
30002777,The Citadel,Outartoh,Isutaka,0.83,30002776:30002778
30002791,The Citadel,Suon,Sirppala,0.88,30000139:30002788:30002805:30040141
30002802,The Citadel,Tasen,Kusomonmon,0.85,30000139:30002801
30021392,Lonetrek,Koichi,Kappas,0.87,30001364
30021407,The Forge,Ihilakken,Aokannitoh,0.97,30000133
30041407,Lonetrek,Okela,Ichinumi,0.88,30001379
30000122,The Forge,Ruomo,Mahtista,0.66,30000120
30000130,The Forge,Anttanen,Shihuken,0.87,30000128:30000129:30020141
30000131,The Forge,Anttanen,Nomaa,0.61,30000126:30000146:30000153
30000135,The Forge,Ihilakken,Outuni,0.73,30000134:30000136:30000137
30000136,The Forge,Ihilakken,Ohmahailen,0.66,30000134:30000135:30000137
30000155,The Forge,Onirvura,Obanen,0.56,30000153:30000154:30000158
30001361,Lonetrek,Okunda,Aurohunen,0.38,30001356:30001383:30001394
30001366,Lonetrek,Koichi,Uosusuokko,0.69,30001365:30001367:30001391
30001369,Lonetrek,Haurala,Sotrentaira,0.51,30001368:30001373
30001370,Lonetrek,Haurala,Ouranienen,0.69,30001368:30001411:30001412
30001371,Lonetrek,Haurala,Erenta,0.63,30001368:30001372:30001415
30001375,Lonetrek,Okela,Tsuguwa,0.77,30001374:30001376:30001378:30001404
30001378,Lonetrek,Okela,Ekura,0.88,30001375:30001392:30011392
30001381,Lonetrek,Kaala,Arvasaras,0.52,30001380
30001382,Lonetrek,Kaala,Akonoinen,0.49,30001367:30001380:30001383:30001384
30001384,Lonetrek,Kaala,Autaris,0.47,30001380:30001382:30001385
30001390,Lonetrek,Makiriemi,Pakkonen,0.42,30001387
30001391,Lonetrek,Makiriemi,Piekura,0.51,30001366:30001386:30001388:30001394
30001396,Lonetrek,Sela,Aakari,0.66,30001394:30001395:30001397
30001397,Lonetrek,Sela,Isseras,0.56,30001395:30001396
30001400,Lonetrek,Minnen,Litiura,0.49,30001368:30001399:30001401:30001402
30001409,Lonetrek,Karnola,Umokka,0.56,30001408
30001410,Lonetrek,Kainokai,Kirras,0.82,30001374:30001411:30001413
30002644,Sinq Laison,Gallente Border Zone,Ambeke,0.50,30002643:30002686:30002691
30002645,Sinq Laison,Gallente Border Zone,Carrou,0.44,30002643:30002646:30002647:30002690
30002646,Sinq Laison,Gallente Border Zone,Direrie,0.50,30002643:30002645
30002749,The Citadel,Arekin,Kausaaja,0.74,30002744:30002751:30002752
30002750,The Citadel,Arekin,Oiniken,0.72,30002739:30002751:30002752:30002753
30002778,The Citadel,Outartoh,Tasabeshi,0.83,30002777:30002779
30002781,The Citadel,Uusasai,Halaima,0.66,30001377:30002774:30002782:30002783
30002788,The Citadel,Suon,Inaro,0.84,30000127:30002789:30002790:30002791
30002801,The Citadel,Tasen,Suroken,0.73,30002800:30002802:30002803:30002805
30002805,The Citadel,Tasen,Anttiri,0.71,30002791:30002801:30002803:30002804
30002813,The Citadel,Isoma,Tama,0.28,30001376:30002809:30045346
30003400,Metropolis,Stadakorn,Hjortur,0.86,30000129:30003377:30003401:30003402:30003408
30011407,Lonetrek,Karnola,Akiainavas,0.75,30001404
30030141,The Forge,Anttanen,Uitra,0.92,30000129
30031392,The Citadel,Santenpaa,Komo,0.80,30002752:30002818
30031407,Lonetrek,Okela,Hitanishio,0.95,30001377
30040141,The Citadel,Suon,Urhinichi,0.84,30002791
30000126,The Forge,Anttanen,Geras,0.65,30000128:30000131
30000127,The Forge,Anttanen,Sirseshin,0.75,30000128:30002788
30000128,The Forge,Anttanen,Tuuriainas,0.61,30000126:30000127:30000130
30000137,The Forge,Ihilakken,Eskunen,0.63,30000135:30000136
30000146,The Forge,Okomon,Saisio,0.65,30000131:30000147:30000148
30000158,The Forge,Onirvura,Olo,0.68,30000155:30000165:30000180
30001356,Lonetrek,Okunda,Dantumi,0.40,30001358:30001361:30001388
30001367,Lonetrek,Koichi,Hageken,0.60,30001366:30001382:30001443
30001372,Lonetrek,Haurala,Kino,0.73,30001371:30002798
30001373,Lonetrek,Haurala,Raussinen,0.45,30001369
30001383,Lonetrek,Kaala,Vaajaita,0.46,30001361:30001382:30001385
30001385,Lonetrek,Kaala,Jan,0.42,30001383:30001384:30001445
30001388,Lonetrek,Makiriemi,Mara,0.42,30001356:30001391:30001402:30002758
30001399,Lonetrek,Minnen,Elonaya,0.67,30001400:30001401:30001403
30001401,Lonetrek,Minnen,Nonni,0.51,30001398:30001399:30001400
30001402,Lonetrek,Minnen,Passari,0.44,30001388:30001400
30001411,Lonetrek,Kainokai,Autama,0.78,30001370:30001410:30001412
30001412,Lonetrek,Kainokai,Tsukuras,0.73,30001370:30001411:30001414
30001413,Lonetrek,Kainokai,Nani,0.84,30001410
30001415,Lonetrek,Kainokai,Kuoka,0.58,30001371:30001414
30002686,Sinq Laison,Lolbrerie,Olettiers,0.43,30002644:30002685:30002687:30002691
30002690,Sinq Laison,Lolbrerie,Bamiette,0.50,30002645:30002687
30002691,Sinq Laison,Lolbrerie,Crielere,0.40,30002644:30002686:30002718
30002739,The Citadel,Imurukka,Isaziwa,0.72,30002737:30002738:30002750
30002744,The Citadel,Nagaslaiken,Auviken,0.82,30002743:30002746:30002747:30002749
30002774,The Citadel,Kantanen,Huttaken,0.57,30002772:30002773:30002781
30002779,The Citadel,Outartoh,Ono,0.79,30002778
30002782,The Citadel,Uusasai,Kamio,0.74,30002781:30002786:30002789
30002783,The Citadel,Uusasai,Sankkasen,0.67,30002781:30002784:30002787
30002789,The Citadel,Suon,Kaaputenen,0.78,30002782:30002788:30003504
30002790,The Citadel,Suon,Waskisen,0.69,30002786:30002788:30002792
30002800,The Citadel,Tasen,Haatomo,0.61,30002768:30002801
30002803,The Citadel,Tasen,Juunigaishi,0.62,30002768:30002786:30002801:30002804:30002805
30002804,The Citadel,Tasen,Isikesu,0.67,30002803:30002805
30002809,The Citadel,Isoma,Sujarento,0.31,30002807:30002810:30002811:30002813
30002818,The Citadel,Santenpaa,Oichiya,0.85,30002815:30002819:30031392:30041392
30003377,Metropolis,Gedur,Illuin,0.91,30003376:30003379:30003380:30003400:30003409
30003401,Metropolis,Stadakorn,Egbonbet,0.89,30003400:30003407
30003402,Metropolis,Stadakorn,Totkubad,0.87,30003400:30003403:30003404:30003405
30003408,Metropolis,Stadakorn,Evettullur,0.79,30003400:30003431
30011392,Lonetrek,Okela,Jouvulen,0.89,30001378
30020141,The Forge,Anttanen,Senda,0.91,30000130
30045346,Black Rise,Okakuola,Kedama,0.34,30002813:30045345:30045350:30045352:30045354
30000147,The Forge,Okomon,Abagawa,0.63,30000146:30000150
30000148,The Forge,Okomon,Jakanerva,0.74,30000146:30000149:30000152
30000165,The Forge,Okkelen,Ishisomo,0.65,30000158:30000166:30000167
30000180,The Forge,Aulari,Osmon,0.68,30000158:30000181:30000182
30001358,Lonetrek,Okunda,Ossa,0.53,30001356:30001357
30001398,Lonetrek,Minnen,Aunenen,0.45,30001401:30001416:30001421
30001403,Lonetrek,Minnen,Piak,0.74,30001399:30001424:30045324
30001414,Lonetrek,Kainokai,Ajanen,0.63,30001412:30001415
30001443,Lonetrek,Mito,Vuorrassi,0.53,30001367:30001444:30001445
30001445,Lonetrek,Mito,Nalvula,0.39,30001385:30001443:30001444:30001446:30001447:30001448
30002685,Sinq Laison,Lolbrerie,Dodenvale,0.71,30002686:30002688:30002689
30002687,Sinq Laison,Lolbrerie,Artisine,0.50,30002686:30002690
30002718,Sinq Laison,Aeman,Rancer,0.36,30002691:30002719
30002737,The Citadel,Imurukka,Konola,0.67,30002739:30002740
30002738,The Citadel,Imurukka,Inoue,0.57,30002739:30002742
30002743,The Citadel,Nagaslaiken,Ohvosamon,0.73,30002744:30002748
30002746,The Citadel,Nagaslaiken,Oijamon,0.82,30002744:30002745:30002748
30002747,The Citadel,Nagaslaiken,Kakki,0.84,30002744:30002745
30002758,The Citadel,Ieyama,Hasama,0.27,30001388:30002757
30002768,The Citadel,Kantanen,Uedama,0.51,30002765:30002767:30002786:30002800:30002803
30002772,The Citadel,Kantanen,Rairomon,0.63,30002769:30002774
30002773,The Citadel,Kantanen,Hogimo,0.56,30002771:30002774:30002798
30002784,The Citadel,Uusasai,Tintoh,0.81,30002783:30002785
30002786,The Citadel,Uusasai,Ikao,0.60,30002768:30002782:30002785:30002790:30002792:30002803
30002787,The Citadel,Uusasai,Waira,0.53,30002783:30002814
30002792,The Citadel,Suon,Irjunen,0.52,30002786:30002790:30002793
30002798,The Citadel,Otawasa,Venilen,0.61,30001372:30002773:30002797
30002807,The Citadel,Isoma,Nagamanen,0.30,30002806:30002808:30002809:30004985
30002810,The Citadel,Isoma,Eranakko,0.32,30002809:30002811
30002811,The Citadel,Isoma,Onatoh,0.30,30002809:30002810:30002812
30002815,The Citadel,Santenpaa,Isenairos,0.80,30002814:30002816:30002818
30002819,The Citadel,Santenpaa,Motsu,0.87,30002818:30041392
30003376,Metropolis,Gedur,Stirht,0.92,30003374:30003377
30003379,Metropolis,Gedur,Aldilur,0.91,30003377
30003380,Metropolis,Gedur,Alf,0.95,30003374:30003375:30003377:30013410
30003403,Metropolis,Stadakorn,Meimungen,0.91,30003402:30003405:30003406:30033410
30003404,Metropolis,Stadakorn,Agtver,0.88,30003402:30003405:30003407
30003405,Metropolis,Stadakorn,Datulen,0.86,30003402:30003403:30003404:30003406
30003407,Metropolis,Stadakorn,Tamekamur,0.89,30003401:30003404
30003409,Metropolis,Meinigefur,Leurtmar,0.96,30003377:30003410:30023410
30003431,Metropolis,Brazinget,Tratokard,0.63,30003408:30003430:30003432:30003433
30003504,Domain,Yekti,Niarja,0.54,30002789:30003502:30003503
30041392,The Citadel,Santenpaa,Laah,0.92,30002817:30002818:30002819
30045345,Black Rise,Okakuola,Hirri,0.34,30045346:30045352:30045353
30045350,Black Rise,Okakuola,Teimo,0.27,30045346
30045352,Black Rise,Okakuola,Nisuwa,0.31,30045345:30045346:30045347:30045348
30045354,Black Rise,Okakuola,Reitsato,0.19,30045330:30045346:30045349
30000149,The Forge,Okomon,Gekutami,0.70,30000148:30000151
30000150,The Forge,Okomon,Hurtoken,0.59,30000147:30000152
30000152,The Forge,Okomon,Hampinen,0.54,30000148:30000150:30000159
30000166,The Forge,Okkelen,Airmia,0.62,30000165:30000167:30000168
30000167,The Forge,Okkelen,Sakkikainen,0.59,30000165:30000166:30000168:30000170
30000181,The Forge,Aulari,Korsiki,0.64,30000180:30000183:30000185
30000182,The Forge,Aulari,Inaya,0.55,30000180:30000184:30000187
30001357,Lonetrek,Okunda,Antiainen,0.56,30001358:30001359:30001360
30001416,Lonetrek,Pietanen,Liukikka,0.56,30001398:30001417:30001418
30001421,Lonetrek,Pietanen,Otalieto,0.51,30001398:30001417:30001420:30001423:30001430
30001424,Lonetrek,Asalola,Haajinen,0.80,30001403:30001425
30001444,Lonetrek,Mito,Oimmo,0.46,30001443:30001445:30001446
30001446,Lonetrek,Mito,Otsasai,0.35,30001444:30001445:30001447:30001448
30001447,Lonetrek,Mito,Taisy,0.33,30000848:30001445:30001446:30001448
30001448,Lonetrek,Mito,Hakonen,0.30,30000205:30001445:30001446:30001447
30002688,Sinq Laison,Lolbrerie,Chainelant,0.85,30002685:30002707
30002689,Sinq Laison,Lolbrerie,Sileperer,0.62,30002685
30002719,Sinq Laison,Aeman,Miroitem,0.31,30002718:30002720:30002722:30002723
30002740,The Citadel,Imurukka,Eitu,0.54,30002737:30002741:30002742
30002742,The Citadel,Imurukka,Erila,0.45,30002738:30002740
30002745,The Citadel,Nagaslaiken,Saikanen,0.87,30002746:30002747
30002748,The Citadel,Nagaslaiken,Jeras,0.57,30002743:30002746:30002755
30002757,The Citadel,Ieyama,Nikkishina,0.37,30002756:30002758
30002765,The Citadel,Caldari Border Zone,Sivala,0.55,30002764:30002766:30002767:30002768
30002767,The Citadel,Kantanen,Kubinen,0.42,30002765:30002768:30002769
30002769,The Citadel,Kantanen,Enderailen,0.45,30002767:30002770:30002772
30002771,The Citadel,Kantanen,Kulelen,0.48,30002770:30002773:30002794
30002785,The Citadel,Uusasai,Santola,0.83,30002784:30002786
30002793,The Citadel,Suon,Inari,0.46,30002792
30002797,The Citadel,Otawasa,Kaunokka,0.49,30002794:30002798
30002806,The Citadel,Isoma,Hasmijaala,0.34,30002796:30002807
30002808,The Citadel,Isoma,Oto,0.40,30002807
30002812,The Citadel,Isoma,Tannolen,0.30,30002811:30005334
30002814,The Citadel,Santenpaa,Uotila,0.57,30002787:30002815
30002816,The Citadel,Santenpaa,Saila,0.89,30002815:30002817
30002817,The Citadel,Santenpaa,Aramachi,0.49,30002816:30041392
30003374,Metropolis,Gedur,Arlulf,0.96,30002511:30003375:30003376:30003380:30022505
30003375,Metropolis,Gedur,Brundakur,0.89,30003374:30003378:30003380
30003406,Metropolis,Stadakorn,Situner,0.84,30003403:30003405
30003410,Metropolis,Meinigefur,Ryddinjorn,1.00,30002525:30003409:30003411
30003430,Metropolis,Brazinget,Oppold,0.67,30003428:30003429:30003431:30003433
30003432,Metropolis,Brazinget,Lumegen,0.58,30003431
30003433,Metropolis,Brazinget,Gedugaud,0.74,30003430:30003431:30003447
30003502,Domain,Yekti,Bahromab,0.57,30003501:30003503:30003504:30003506
30003503,Domain,Yekti,Madirmilire,0.60,30003491:30003502:30003504:30003506:30004080
30004985,Essence,Jeon,Deven,0.32,30002807:30004980
30013410,Metropolis,Gedur,Abrat,0.98,30003380
30023410,Metropolis,Meinigefur,Embod,0.96,30003409
30033410,Metropolis,Stadakorn,Erego,0.93,30003403
30045324,Black Rise,Aokinen,Onnamon,0.56,30001403:30045314:30045325:30045326:30045327:30045328
30045330,Black Rise,Kurala,Okkamon,0.29,30045332:30045334:30045354
30045347,Black Rise,Okakuola,Oinasiken,0.23,30004984:30045352:30045353
30045348,Black Rise,Okakuola,Notoras,0.19,30045352
30045349,Black Rise,Okakuola,Rakapas,0.22,30045351:30045353:30045354
30045353,Black Rise,Okakuola,Pynekastoh,0.24,30045338:30045345:30045347:30045349
30000151,The Forge,Okomon,Uoyonen,0.70,30000149:30000173
30000159,The Forge,Ihatalo,Ikami,0.53,30000152:30000160:30000161
30000168,The Forge,Okkelen,Friggi,0.51,30000166:30000167:30000169:30000171
30000170,The Forge,Okkelen,Vahunomi,0.53,30000167
30000183,The Forge,Aulari,Nuken,0.76,30000181
30000184,The Forge,Aulari,Uminas,0.48,30000182
30000185,The Forge,Aulari,Airaken,0.50,30000181:30000186
30000187,The Forge,Aulari,Wuos,0.56,30000182
30000205,The Forge,Orpana,Obe,0.35,30000204:30000250:30001448
30000848,Tribute,1P-VL2,M-OEE8,-0.22,30000846:30000847:30000849:30000850:30001447
30001359,Lonetrek,Okunda,Semiki,0.59,30001357
30001360,Lonetrek,Okunda,Kiskoken,0.52,30001357
30001417,Lonetrek,Pietanen,Rauntaka,0.53,30001416:30001419:30001421
30001418,Lonetrek,Pietanen,Aikantoh,0.65,30001416
30001420,Lonetrek,Pietanen,Daras,0.36,30001419:30001421:30001422
30001423,Lonetrek,Pietanen,Jotenen,0.58,30001419:30001421
30001425,Lonetrek,Asalola,Oipo,0.76,30001424:30001426
30001430,Lonetrek,Malariya,Endatoh,0.57,30001421:30001431
30002511,Heimatar,Ortner,Ameinaka,0.99,30002505:30002524:30003374:30012505
30002525,Heimatar,Odengsolf,Meirakulf,0.88,30002524:30002526:30003410
30002707,Sinq Laison,Agiesseson,Unel,0.89,30002688:30002709:30002763
30002720,Sinq Laison,Aeman,Thelan,0.23,30002050:30002719:30002721
30002722,Sinq Laison,Aeman,Lamadent,0.34,30002719:30002723
30002723,Sinq Laison,Aeman,Otou,0.33,30002053:30002719:30002722
30002741,The Citadel,Imurukka,Horkkisen,0.44,30002740
30002755,The Citadel,Ieyama,Usi,0.54,30002748:30002756
30002756,The Citadel,Ieyama,Ishomilken,0.37,30002755:30002757:30002759
30002764,The Citadel,Caldari Border Zone,Hatakani,0.94,30002761:30002762:30002763:30002765
30002766,The Citadel,Caldari Border Zone,Iivinen,0.74,30002763:30002765
30002770,The Citadel,Kantanen,Tunudan,0.41,30002769:30002771
30002794,The Citadel,Otawasa,Yria,0.50,30002771:30002795:30002797:30002799
30002796,The Citadel,Otawasa,Hysera,0.40,30002795:30002799:30002806
30003378,Metropolis,Gedur,Nedegulf,0.77,30003375
30003411,Metropolis,Meinigefur,Arlek,0.96,30003410:30003412
30003428,Metropolis,Brazinget,Hilfhurmur,0.79,30003396:30003429:30003430
30003429,Metropolis,Brazinget,Geffur,0.71,30003428:30003430
30003447,Metropolis,Panorad,Josekorn,0.64,30003433:30003448:30003451
30003491,Domain,Parud,Ashab,0.91,30002187:30002189:30002193:30003488:30003489:30003503:30003507
30003501,Domain,Yekti,Kudi,0.70,30003487:30003500:30003502:30003505
30003506,Domain,Yekti,Saana,0.55,30003502:30003503
30004080,Kador,Megeh,Romi,0.72,30002282:30003503:30003508:30004079
30004980,Essence,Jeon,Fliet,0.35,30004979:30004981:30004985
30004984,Essence,Jeon,Abune,0.29,30004979:30045347
30005334,Verge Vendor,Aideron,Tierijev,0.84,30002812:30005025:30005331:30005332
30022505,Metropolis,Gedur,Orgron,0.96,30003374
30045314,Black Rise,Inolari,Kinakka,0.42,30045315:30045316:30045318:30045324
30045325,Black Rise,Aokinen,Rohamaa,0.50,30045321:30045324
30045326,Black Rise,Aokinen,Uuhulanen,0.49,30003008:30045322:30045323:30045324
30045327,Black Rise,Aokinen,Tsuruma,0.54,30045323:30045324
30045328,Black Rise,Aokinen,Ahtila,0.64,30045322:30045324:30045329
30045332,Black Rise,Kurala,Asakai,0.26,30045330:30045331:30045333:30045334:30045336:30045337
30045334,Black Rise,Kurala,Mushikegi,0.43,30002760:30045330:30045331:30045332
30045338,Black Rise,Ishaga,Hikkoken,0.34,30045341:30045343:30045344:30045353
30045351,Black Rise,Okakuola,Iwisoda,0.24,30045349
30000160,The Forge,Ihatalo,Reisen,0.52,30000159:30000161:30000163
30000161,The Forge,Ihatalo,Purjola,0.52,30000159:30000160:30000162
30000169,The Forge,Okkelen,Ihakana,0.38,30000168:30000171:30000172:30000194
30000171,The Forge,Okkelen,Otitoh,0.48,30000168:30000169
30000173,The Forge,Otsabaira,Vattuolen,0.71,30000151:30000174:30000175:30000178
30000186,The Forge,Aulari,Oijanen,0.35,30000163:30000185:30002440
30000204,The Forge,Orpana,Ohkunen,0.38,30000202:30000205
30000250,Vale of the Silent,Z-DO53,P3EN-E,-0.27,30000205:30000252
30000846,Tribute,1P-VL2,E-OGL4,-0.29,30000848:30000861
30000847,Tribute,1P-VL2,J-GAMP,-0.24,30000848:30000850
30000849,Tribute,1P-VL2,V0DF-2,-0.21,30000848:30000850:30000851
30000850,Tribute,1P-VL2,FY0W-N,-0.19,30000847:30000848:30000849
30001419,Lonetrek,Pietanen,Atai,0.48,30001417:30001420:30001423
30001422,Lonetrek,Pietanen,Iitanmadan,0.31,30001420:30001437
30001426,Lonetrek,Asalola,Isinokka,0.73,30001425:30001427
30001431,Lonetrek,Malariya,Aivoli,0.58,30001430:30001432
30002050,Metropolis,Barvigrard,Hagilur,0.36,30002048:30002051:30002052:30002076:30002720
30002053,Metropolis,Barvigrard,Hek,0.55,30002049:30002054:30002068:30002543:30002723
30002187,Domain,Throne Worlds,Amarr,1.00,30002189:30002192:30002282:30003491:30003522:30005038
30002189,Domain,Throne Worlds,Hedion,0.96,30002187:30002188:30002190:30002196:30003491
30002193,Domain,Throne Worlds,Kehour,0.92,30002188:30002197:30003491
30002282,Domain,Norgoh,Bhizheba,0.96,30001671:30002187:30002280:30002281:30004080
30002505,Heimatar,Ortner,Hulm,1.00,30002511:30002518
30002524,Heimatar,Odengsolf,Ivar,0.96,30002508:30002511:30002525:30042505
30002526,Heimatar,Odengsolf,Frarn,0.84,30002510:30002525:30002527:30002529:30002530
30002709,Sinq Laison,Agiesseson,Auberulle,0.83,30002632:30002707:30002710
30002721,Sinq Laison,Aeman,Rorsins,0.13,30002720
30002759,The Citadel,Ieyama,Uuna,0.38,30002756:30002760
30002760,The Citadel,Ieyama,Manjonakko,0.33,30002759:30045334
30002761,The Citadel,Caldari Border Zone,Kassigainen,0.92,30002762:30002764:30004972:30005015
30002762,The Citadel,Caldari Border Zone,Yashunen,0.95,30002761:30002763:30002764:30004974
30002763,The Citadel,Caldari Border Zone,Tennen,0.92,30002707:30002762:30002764:30002766
30002795,The Citadel,Otawasa,Oshaima,0.45,30002794:30002796:30002799
30002799,The Citadel,Otawasa,Oisio,0.53,30002794:30002795:30002796
30003008,Devoid,Enka,Palpis,0.50,30003006:30003007:30045326
30003396,Metropolis,Jonar,Maturat,0.76,30003395:30003397:30003399:30003428
30003412,Metropolis,Meinigefur,Elgoi,0.89,30003411:30003413:30003453
30003448,Metropolis,Panorad,Nifflung,0.75,30003447:30003449
30003451,Metropolis,Panorad,Dantbeinn,0.73,30003447
30003487,Domain,Parud,Arbaz,0.91,30003489:30003501:30013489
30003488,Domain,Parud,Penirgman,0.86,30003489:30003490:30003491:30003492
30003489,Domain,Parud,Chaven,1.00,30003487:30003488:30003491
30003500,Domain,Yekti,Sharji,0.77,30003501:30003505:30003508:30003509
30003505,Domain,Yekti,Fabum,0.71,30003500:30003501
30003507,Domain,Hoosa,Teshi,0.87,30003491:30003508:30003510:30003511
30003508,Domain,Hoosa,Sayartchen,0.79,30003475:30003500:30003507:30003509:30003510:30003512:30004080
30004079,Kador,Megeh,Aphend,0.63,30004078:30004080
30004979,Essence,Jeon,Heydieles,0.31,30004977:30004980:30004981:30004982:30004984:30005000
30004981,Essence,Jeon,Actee,0.50,30004979:30004980:30004983
30005025,Essence,Eustron,Derririntel,0.82,30005024:30005026:30005334
30005331,Verge Vendor,Aideron,Chantrousse,0.64,30005203:30005330:30005332:30005334
30005332,Verge Vendor,Aideron,Osmomonne,0.77,30005322:30005331:30005334
30012505,Heimatar,Ortner,Malukker,0.99,30002511
30045315,Black Rise,Inolari,Raihbaka,0.38,30001435:30045314:30045317
30045316,Black Rise,Inolari,Innia,0.32,30045314:30045318:30045319:30045320
30045318,Black Rise,Inolari,Martoh,0.38,30045308:30045314:30045316:30045317:30045319
30045321,Black Rise,Aokinen,Uchomida,0.49,30045322:30045325:30045329
30045322,Black Rise,Aokinen,Samanuni,0.65,30045321:30045326:30045328:30045337
30045323,Black Rise,Aokinen,Astoh,0.61,30045326:30045327
30045329,Black Rise,Aokinen,Ichoriya,0.57,30045321:30045328:30045342
30045331,Black Rise,Kurala,Vaaralen,0.31,30045332:30045334:30045335
30045333,Black Rise,Kurala,Prism,0.24,30045332:30045336:30045337
30045336,Black Rise,Kurala,Elunala,0.25,30045332:30045333
30045337,Black Rise,Kurala,Ikoskio,0.28,30045322:30045332:30045333
30045341,Black Rise,Ishaga,Hallanen,0.36,30045338:30045339
30045343,Black Rise,Ishaga,Immuri,0.42,30045338:30045344
30045344,Black Rise,Ishaga,Nennamaila,0.27,30003837:30045338:30045339:30045342:30045343
30000162,The Forge,Ihatalo,Maila,0.44,30000161:30000163
30000163,The Forge,Ihatalo,Akora,0.32,30000160:30000162:30000164:30000186
30000172,The Forge,Okkelen,Otomainen,0.48,30000169
30000174,The Forge,Otsabaira,Onuse,0.74,30000173:30000176:30000178
