PlanetID,SystemID,Planet Name,Planet Type
40176375,30002780,Muvolailen V,Barren
40176378,30002780,Muvolailen VI,Barren
40176381,30002780,Muvolailen VII,Oceanic
40176385,30002780,Muvolailen IX,Gas
40176401,30002780,Muvolailen X,Gas
40176424,30002780,Muvolailen XI,Barren
40007767,30000119,Itamo I,Barren
40007769,30000119,Itamo II,Lava
40007771,30000119,Itamo III,Barren
40007773,30000119,Itamo IV,Temperate
40007775,30000119,Itamo V,Temperate
40007777,30000119,Itamo VI,Gas
40007786,30000119,Itamo VII,Gas
40007795,30000119,Itamo VIII,Gas
40008392,30000132,Ansila I,Barren
40008394,30000132,Ansila II,Barren
40008396,30000132,Ansila III,Barren
40008397,30000132,Ansila IV,Temperate
40008399,30000132,Ansila V,Barren
40008402,30000132,Ansila VI,Gas
40008409,30000132,Ansila VII,Gas
40008428,30000132,Ansila VIII,Gas
40008452,30000132,Ansila IX,Ice
40008457,30000132,Ansila X,Barren
40008462,30000133,Hirtamon I,Plasma
40008464,30000133,Hirtamon II,Barren
40008466,30000133,Hirtamon III,Storm
40008468,30000133,Hirtamon IV,Temperate
40008471,30000133,Hirtamon V,Oceanic
40008472,30000133,Hirtamon VI,Gas
40008495,30000133,Hirtamon VII,Gas
40008517,30000133,Hirtamon VIII,Gas
40008896,30000139,Urlen V,Temperate
40009922,30000156,Josameto IV,Storm
40086805,30001362,Veisto III,Oceanic
40086910,30001364,Funtanainen III,Temperate
40086923,30001364,Funtanainen VII,Oceanic
40086928,30001364,Funtanainen IX,Temperate
40087944,30001379,Tunttaras VII,Gas
40087983,30001379,Tunttaras X,Temperate
40088484,30001389,Isanamo X,Temperate
40088496,30001389,Isanamo XIII,Temperate
40088499,30001389,Isanamo XIV,Gas
40088661,30001393,Malkalen III,Oceanic
40008889,30000139,Urlen I,Lava
40008890,30000139,Urlen II,Barren
40008892,30000139,Urlen III,Storm
40008894,30000139,Urlen IV,Barren
40088663,30001393,Malkalen IV,Temperate
40088666,30001393,Malkalen V,Temperate
40008900,30000139,Urlen VI,Lava
40008904,30000139,Urlen VII,Gas
40008915,30000139,Urlen VIII,Barren
40008918,30000139,Urlen IX,Storm
40089400,30001405,Kakakela I,Lava
40168298,30002642,Iyen-Oursta VI,Gas
40168303,30002642,Iyen-Oursta VII,Temperate
40168307,30002642,Iyen-Oursta VIII,Temperate
40174824,30002754,Alikara IV,Temperate
40174849,30002754,Alikara VII,Gas
40174891,30002754,Alikara X,Gas
40176102,30002775,Paara I,Lava
40176107,30002775,Paara IV,Temperate
40176110,30002775,Paara VI,Temperate
40176114,30002775,Paara VII,Gas
40176125,30002776,Annaro IV,Temperate
40176149,30002776,Annaro X,Plasma
40342205,30010141,Sakenta III,Temperate
40342211,30010141,Sakenta V,Temperate
40342219,30010141,Sakenta VII,Lava
40009917,30000156,Josameto I,Barren
40009919,30000156,Josameto II,Barren
40009920,30000156,Josameto III,Barren
40009924,30000156,Josameto V,Barren
40009926,30000156,Josameto VI,Gas
40009931,30000156,Josameto VII,Barren
40009934,30000156,Josameto VIII,Barren
40009938,30000156,Josameto IX,Gas
40086802,30001362,Veisto I,Barren
40086803,30001362,Veisto II,Barren
40086807,30001362,Veisto IV,Gas
40086814,30001362,Veisto V,Gas
40086832,30001362,Veisto VI,Barren
40086837,30001362,Veisto VII,Gas
40086842,30001362,Veisto VIII,Barren
40086907,30001364,Funtanainen I,Barren
40086908,30001364,Funtanainen II,Oceanic
40086914,30001364,Funtanainen IV,Barren
40086916,30001364,Funtanainen V,Barren
40086920,30001364,Funtanainen VI,Barren
40086925,30001364,Funtanainen VIII,Barren
40087933,30001379,Tunttaras I,Barren
40087934,30001379,Tunttaras II,Barren
40087935,30001379,Tunttaras III,Barren
40087936,30001379,Tunttaras IV,Barren
40087938,30001379,Tunttaras V,Temperate
40087941,30001379,Tunttaras VI,Barren
40087954,30001379,Tunttaras VIII,Gas
40087959,30001379,Tunttaras IX,Gas
40087988,30001379,Tunttaras XI,Barren
40088465,30001389,Isanamo I,Lava
40088466,30001389,Isanamo II,Barren
40088467,30001389,Isanamo III,Barren
40088469,30001389,Isanamo IV,Barren
40088470,30001389,Isanamo V,Barren
40088471,30001389,Isanamo VI,Temperate
40088473,30001389,Isanamo VII,Lava
40088477,30001389,Isanamo VIII,Barren
40088479,30001389,Isanamo IX,Barren
40088487,30001389,Isanamo XI,Barren
40088490,30001389,Isanamo XII,Gas
40088659,30001393,Malkalen I,Barren
40088660,30001393,Malkalen II,Barren
40089402,30001405,Kakakela II,Barren
40089404,30001405,Kakakela III,Oceanic
40089406,30001405,Kakakela IV,Storm
40089408,30001405,Kakakela V,Gas
40089414,30001405,Kakakela VI,Gas
40089436,30001405,Kakakela VII,Ice
40089461,30001405,Kakakela VIII,Barren
40168289,30002642,Iyen-Oursta I,Lava
40168290,30002642,Iyen-Oursta II,Barren
40168292,30002642,Iyen-Oursta III,Lava
40168293,30002642,Iyen-Oursta IV,Barren
40168295,30002642,Iyen-Oursta V,Storm
40174819,30002754,Alikara I,Lava
40174820,30002754,Alikara II,Barren
40174822,30002754,Alikara III,Barren
40174826,30002754,Alikara V,Barren
40174829,30002754,Alikara VI,Gas
40174858,30002754,Alikara VIII,Storm
40174862,30002754,Alikara IX,Gas
40176103,30002775,Paara II,Barren
40176104,30002775,Paara III,Plasma
40176109,30002775,Paara V,Barren
40176121,30002776,Annaro I,Barren
40176122,30002776,Annaro II,Barren
40176123,30002776,Annaro III,Barren
40176127,30002776,Annaro V,Temperate
40176131,30002776,Annaro VI,Lava
40176134,30002776,Annaro VII,Gas
40176140,30002776,Annaro VIII,Temperate
40176145,30002776,Annaro IX,Gas
40342202,30010141,Sakenta I,Lava
40342204,30010141,Sakenta II,Barren
40342208,30010141,Sakenta IV,Barren
40342214,30010141,Sakenta VI,Barren
40342222,30010141,Sakenta VIII,Barren
40342225,30010141,Sakenta IX,Barren
40007813,30000120,Mitsolen I,Plasma
40007815,30000120,Mitsolen II,Barren
40007817,30000120,Mitsolen III,Storm
40007820,30000120,Mitsolen IV,Gas
40007837,30000120,Mitsolen V,Gas
40007858,30000120,Mitsolen VI,Ice
40007864,30000120,Mitsolen VII,Ice
40007870,30000120,Mitsolen VIII,Barren
40007873,30000121,Jatate I,Lava
40007875,30000121,Jatate II,Barren
40007878,30000121,Jatate III,Gas
40007895,30000121,Jatate IV,Gas
40007961,30000123,Vaankalen I,Gas
40007972,30000123,Vaankalen II,Gas
40007988,30000123,Vaankalen III,Temperate
40007991,30000123,Vaankalen IV,Gas
40008015,30000123,Vaankalen V,Ice
40008039,30000123,Vaankalen VI,Ice
40008046,30000123,Vaankalen VII,Barren
40008048,30000123,Vaankalen VIII,Barren
40008052,30000124,Kylmabe I,Lava
40008053,30000124,Kylmabe II,Barren
40008054,30000124,Kylmabe III,Oceanic
40008055,30000124,Kylmabe IV,Plasma
40008056,30000124,Kylmabe V,Barren
40008057,30000124,Kylmabe VI,Lava
40008060,30000124,Kylmabe VII,Barren
40008062,30000124,Kylmabe VIII,Temperate
40008065,30000124,Kylmabe IX,Storm
40008068,30000124,Kylmabe X,Oceanic
40008071,30000125,Ahtulaima I,Barren
40008074,30000125,Ahtulaima II,Barren
40008076,30000125,Ahtulaima III,Barren
40008078,30000125,Ahtulaima IV,Plasma
40008081,30000125,Ahtulaima V,Barren
40008083,30000125,Ahtulaima VI,Gas
40008089,30000125,Ahtulaima VII,Lava
40008092,30000125,Ahtulaima VIII,Gas
40008118,30000125,Ahtulaima IX,Storm
40008120,30000125,Ahtulaima X,Barren
40008124,30000125,Ahtulaima XI,Barren
40008234,30000129,Unpas I,Lava
40008235,30000129,Unpas II,Barren
40008236,30000129,Unpas III,Barren
40008237,30000129,Unpas IV,Storm
40008239,30000129,Unpas V,Barren
40008242,30000129,Unpas VI,Gas
40008266,30000129,Unpas VII,Storm
40008273,30000129,Unpas VIII,Gas
40008295,30000129,Unpas IX,Gas
40008303,30000129,Unpas X,Gas
40008525,30000134,Hykkota I,Barren
40008527,30000134,Hykkota II,Storm
40008529,30000134,Hykkota III,Gas
40008545,30000134,Hykkota IV,Gas
40008565,30000134,Hykkota V,Gas
40008586,30000134,Hykkota VI,Ice
40009050,30000141,Kisogo I,Lava
40009052,30000141,Kisogo II,Plasma
40009053,30000141,Kisogo III,Lava
40009056,30000141,Kisogo IV,Lava
40009059,30000141,Kisogo V,Storm
40009062,30000141,Kisogo VI,Storm
40009067,30000141,Kisogo VII,Lava
40009070,30000141,Kisogo VIII,Temperate
40009073,30000141,Kisogo IX,Temperate
40009807,30000154,Liekuri V,Gas
40010023,30000157,Otela VI,Gas
40086933,30001365,Isikemi I,Plasma
40086934,30001365,Isikemi II,Temperate
40086940,30001365,Isikemi IV,Gas
40086959,30001365,Isikemi VII,Temperate
40087604,30001374,Iidoken IV,Temperate
40087636,30001374,Iidoken VII,Gas
40009681,30000153,Poinen I,Gas
40009686,30000153,Poinen II,Gas
40009702,30000153,Poinen III,Gas
40009723,30000153,Poinen IV,Gas
40009742,30000153,Poinen V,Gas
40009782,30000153,Poinen VI,Ice
40009791,30000153,Poinen VII,Storm
40009796,30000153,Poinen VIII,Barren
40009801,30000154,Liekuri I,Barren
40009802,30000154,Liekuri II,Barren
40009805,30000154,Liekuri III,Barren
40009806,30000154,Liekuri IV,Storm
40087774,30001376,Nourvukaiken III,Temperate
40009812,30000154,Liekuri VI,Gas
40009837,30000154,Liekuri VII,Gas
40087787,30001376,Nourvukaiken VI,Gas
40087830,30001377,Sarekuwa III,Gas
40009948,30000157,Otela I,Lava
40009950,30000157,Otela II,Gas
40009955,30000157,Otela III,Gas
40009980,30000157,Otela IV,Gas
40009997,30000157,Otela V,Gas
40087995,30001380,Vellaine III,Temperate
40088320,30001386,Saatuban IV,Temperate
40088322,30001386,Saatuban V,Temperate
40088353,30001387,Isikano V,Plasma
40088356,30001387,Isikano VI,Gas
40088378,30001387,Isikano VII,Gas
40088386,30001387,Isikano VIII,Gas
40088410,30001387,Isikano IX,Gas
40088641,30001392,Amsen III,Plasma
40088642,30001392,Amsen IV,Oceanic
40088811,30001395,Ylandoki V,Gas
40089357,30001404,Airkio V,Lava
40089367,30001404,Airkio VII,Gas
40089469,30001406,Kamokor III,Temperate
40089471,30001406,Kamokor IV,Temperate
40089498,30001406,Kamokor VI,Gas
40089535,30001407,Todaki I,Lava
40089536,30001407,Todaki II,Temperate
40089538,30001407,Todaki III,Temperate
40089543,30001407,Todaki V,Temperate
40089546,30001407,Todaki VI,Gas
40089582,30001407,Todaki VIII,Oceanic
40089591,30001408,Ruvas IV,Temperate
40168313,30002643,Faurent III,Temperate
40168572,30002647,Ignoitton II,Gas
40174713,30002751,Kaimon I,Temperate
40174781,30002752,Ahynada VI,Temperate
40174798,30002753,Aikoro V,Temperate
40174800,30002753,Aikoro VI,Gas
40176154,30002777,Isutaka I,Lava
40177118,30002791,Sirppala II,Temperate
40177160,30002791,Sirppala IV,Gas
40177739,30002802,Kusomonmon II,Gas
40177770,30002802,Kusomonmon V,Gas
40341608,30021392,Kappas VI,Temperate
40340805,30021407,Aokannitoh III,Temperate
40340807,30021407,Aokannitoh IV,Temperate
40341207,30041407,Ichinumi IV,Temperate
40341210,30041407,Ichinumi V,Temperate
40341245,30041407,Ichinumi VII,Temperate
40086937,30001365,Isikemi III,Gas
40086945,30001365,Isikemi V,Temperate
40086949,30001365,Isikemi VI,Gas
40087159,30001368,Uemisaisen I,Barren
40087162,30001368,Uemisaisen II,Barren
40087164,30001368,Uemisaisen III,Lava
40087166,30001368,Uemisaisen IV,Temperate
40087168,30001368,Uemisaisen V,Gas
40087183,30001368,Uemisaisen VI,Gas
40087206,30001368,Uemisaisen VII,Gas
40087231,30001368,Uemisaisen VIII,Gas
40087254,30001368,Uemisaisen IX,Ice
40087599,30001374,Iidoken I,Lava
40087600,30001374,Iidoken II,Temperate
40087602,30001374,Iidoken III,Storm
40087607,30001374,Iidoken V,Barren
40087611,30001374,Iidoken VI,Gas
40087659,30001374,Iidoken VIII,Gas
40087671,30001374,Iidoken IX,Gas
40087679,30001374,Iidoken X,Ice
40087770,30001376,Nourvukaiken I,Barren
40087772,30001376,Nourvukaiken II,Barren
40087778,30001376,Nourvukaiken IV,Gas
40087783,30001376,Nourvukaiken V,Gas
40087796,30001376,Nourvukaiken VII,Gas
40087823,30001377,Sarekuwa I,Storm
40087825,30001377,Sarekuwa II,Gas
40087854,30001377,Sarekuwa IV,Storm
40087858,30001377,Sarekuwa V,Ice
40087992,30001380,Vellaine I,Barren
40087993,30001380,Vellaine II,Barren
40087997,30001380,Vellaine IV,Barren
40087999,30001380,Vellaine V,Gas
40088016,30001380,Vellaine VI,Ice
40088044,30001380,Vellaine VII,Barren
40088316,30001386,Saatuban I,Barren
40088317,30001386,Saatuban II,Barren
40088318,30001386,Saatuban III,Storm
40088325,30001386,Saatuban VI,Barren
40088329,30001386,Saatuban VII,Lava
40088332,30001386,Saatuban VIII,Storm
40088338,30001386,Saatuban IX,Oceanic
40088343,30001387,Isikano I,Barren
40088346,30001387,Isikano II,Barren
40088348,30001387,Isikano III,Barren
40088350,30001387,Isikano IV,Plasma
40088440,30001387,Isikano X,Barren
40088639,30001392,Amsen I,Barren
40088640,30001392,Amsen II,Barren
40088643,30001392,Amsen V,Lava
40088645,30001392,Amsen VI,Barren
40088648,30001392,Amsen VII,Storm
40088651,30001392,Amsen VIII,Barren
40088654,30001392,Amsen IX,Temperate
40088670,30001394,Korama I,Barren
40088672,30001394,Korama II,Gas
40088683,30001394,Korama III,Gas
40088702,30001394,Korama IV,Gas
40088720,30001394,Korama V,Gas
40088748,30001394,Korama VI,Gas
40088784,30001394,Korama VII,Barren
40088788,30001395,Ylandoki I,Lava
40088790,30001395,Ylandoki II,Barren
40088791,30001395,Ylandoki III,Gas
40088796,30001395,Ylandoki IV,Gas
40088838,30001395,Ylandoki VI,Gas
40088864,30001395,Ylandoki VII,Ice
40088899,30001395,Ylandoki VIII,Oceanic
40088905,30001395,Ylandoki IX,Barren
40089350,30001404,Airkio I,Barren
40089351,30001404,Airkio II,Lava
40089353,30001404,Airkio III,Barren
40089355,30001404,Airkio IV,Barren
40089359,30001404,Airkio VI,Gas
40089371,30001404,Airkio VIII,Barren
40089372,30001404,Airkio IX,Gas
40089392,30001404,Airkio X,Gas
40089466,30001406,Kamokor I,Barren
40089467,30001406,Kamokor II,Barren
40089476,30001406,Kamokor V,Gas
40089518,30001406,Kamokor VII,Gas
40089527,30001406,Kamokor VIII,Ice
40089540,30001407,Todaki IV,Storm
40089578,30001407,Todaki VII,Temperate
40089587,30001408,Ruvas I,Lava
40089589,30001408,Ruvas II,Barren
40089590,30001408,Ruvas III,Barren
40089594,30001408,Ruvas V,Oceanic
40089597,30001408,Ruvas VI,Gas
40089621,30001408,Ruvas VII,Barren
40168311,30002643,Faurent I,Barren
40168312,30002643,Faurent II,Barren
40168315,30002643,Faurent IV,Lava
40168317,30002643,Faurent V,Gas
40168340,30002643,Faurent VI,Gas
40168345,30002643,Faurent VII,Gas
40168357,30002643,Faurent VIII,Barren
40168358,30002643,Faurent IX,Ice
40168570,30002647,Ignoitton I,Barren
40168583,30002647,Ignoitton III,Gas
40168590,30002647,Ignoitton IV,Gas
40168615,30002647,Ignoitton V,Gas
40168641,30002647,Ignoitton VI,Gas
40174715,30002751,Kaimon II,Temperate
40174730,30002751,Kaimon III,Ice
40174762,30002751,Kaimon IV,Barren
40174765,30002751,Kaimon V,Storm
40174769,30002752,Ahynada I,Barren
40174770,30002752,Ahynada II,Lava
40174773,30002752,Ahynada III,Lava
40174777,30002752,Ahynada IV,Barren
40174780,30002752,Ahynada V,Barren
40174784,30002752,Ahynada VII,Lava
40174787,30002752,Ahynada VIII,Temperate
40174792,30002753,Aikoro I,Barren
40174793,30002753,Aikoro II,Lava
40174794,30002753,Aikoro III,Barren
40174796,30002753,Aikoro IV,Storm
40174810,30002753,Aikoro VII,Storm
40174816,30002753,Aikoro VIII,Barren
40176155,30002777,Isutaka II,Barren
40176156,30002777,Isutaka III,Temperate
40176158,30002777,Isutaka IV,Gas
40176163,30002777,Isutaka V,Temperate
40177116,30002791,Sirppala I,Barren
40177137,30002791,Sirppala III,Gas
40177183,30002791,Sirppala V,Ice
40177738,30002802,Kusomonmon I,Barren
40177754,30002802,Kusomonmon III,Temperate
40177756,30002802,Kusomonmon IV,Gas
40177799,30002802,Kusomonmon VI,Ice
40177839,30002802,Kusomonmon VII,Ice
40341602,30021392,Kappas I,Barren
40341603,30021392,Kappas II,Barren
40341604,30021392,Kappas III,Barren
40341605,30021392,Kappas IV,Lava
40341606,30021392,Kappas V,Temperate
40341611,30021392,Kappas VII,Barren
40341614,30021392,Kappas VIII,Oceanic
40341617,30021392,Kappas IX,Barren
40340802,30021407,Aokannitoh I,Lava
40340803,30021407,Aokannitoh II,Barren
40340810,30021407,Aokannitoh V,Barren
40340813,30021407,Aokannitoh VI,Gas
40340845,30021407,Aokannitoh VII,Barren
40340849,30021407,Aokannitoh VIII,Storm
40341202,30041407,Ichinumi I,Barren
40341203,30041407,Ichinumi II,Barren
40341205,30041407,Ichinumi III,Temperate
40341213,30041407,Ichinumi VI,Barren
40341249,30041407,Ichinumi VIII,Barren
40007917,30000122,Mahtista I,Barren
40007918,30000122,Mahtista II,Barren
40007921,30000122,Mahtista III,Barren
40007922,30000122,Mahtista IV,Oceanic
40007924,30000122,Mahtista V,Barren
40007926,30000122,Mahtista VI,Temperate
40007929,30000122,Mahtista VII,Gas
40007942,30000122,Mahtista VIII,Gas
40007948,30000122,Mahtista IX,Oceanic
40007949,30000122,Mahtista X,Gas
40008310,30000130,Shihuken I,Barren
40008311,30000130,Shihuken II,Barren
40008314,30000130,Shihuken III,Plasma
40008315,30000130,Shihuken IV,Lava
40008317,30000130,Shihuken V,Temperate
40008319,30000130,Shihuken VI,Barren
40008322,30000130,Shihuken VII,Gas
40008343,30000130,Shihuken VIII,Barren
40008348,30000131,Nomaa I,Barren
40008350,30000131,Nomaa II,Barren
40008351,30000131,Nomaa III,Gas
40008356,30000131,Nomaa IV,Gas
40008362,30000131,Nomaa V,Barren
40008366,30000131,Nomaa VI,Gas
40008387,30000131,Nomaa VII,Barren
40008606,30000135,Outuni I,Plasma
40008608,30000135,Outuni II,Barren
40008609,30000135,Outuni III,Barren
40008611,30000135,Outuni IV,Lava
40008613,30000135,Outuni V,Storm
40008615,30000135,Outuni VI,Temperate
40008618,30000135,Outuni VII,Gas
40008638,30000135,Outuni VIII,Oceanic
40008640,30000135,Outuni IX,Gas
40008658,30000135,Outuni X,Gas
40008685,30000135,Outuni XI,Gas
40008690,30000135,Outuni XII,Gas
40008721,30000136,Ohmahailen I,Barren
40008723,30000136,Ohmahailen II,Plasma
40008725,30000136,Ohmahailen III,Temperate
40008729,30000136,Ohmahailen IV,Gas
40008747,30000136,Ohmahailen V,Gas
40008768,30000136,Ohmahailen VI,Temperate
40008772,30000136,Ohmahailen VII,Ice
40008784,30000136,Ohmahailen VIII,Ice
40009864,30000155,Obanen I,Lava
40009865,30000155,Obanen II,Barren
40009867,30000155,Obanen III,Lava
40009868,30000155,Obanen IV,Storm
40009870,30000155,Obanen V,Barren
40009873,30000155,Obanen VI,Storm
40009876,30000155,Obanen VII,Gas
40009894,30000155,Obanen VIII,Gas
40009909,30000155,Obanen IX,Gas
40086741,30001361,Aurohunen III,Oceanic
40086747,30001361,Aurohunen V,Gas
40086767,30001361,Aurohunen VI,Gas
40086790,30001361,Aurohunen VII,Oceanic
40086964,30001366,Uosusuokko I,Lava
40086970,30001366,Uosusuokko V,Gas
40087259,30001369,Sotrentaira II,Lava
40087283,30001369,Sotrentaira VII,Gas
40087313,30001370,Ouranienen II,Oceanic
40087315,30001370,Ouranienen III,Temperate
40087329,30001370,Ouranienen VI,Gas
40087691,30001375,Tsuguwa II,Temperate
40087694,30001375,Tsuguwa III,Gas
40087734,30001375,Tsuguwa V,Gas
40087874,30001378,Ekura V,Temperate
40087877,30001378,Ekura VI,Gas
40088051,30001381,Arvasaras I,Temperate
40088054,30001381,Arvasaras II,Temperate
40088121,30001382,Akonoinen V,Temperate
40088123,30001382,Akonoinen VI,Storm
40088125,30001382,Akonoinen VII,Temperate
40088128,30001382,Akonoinen VIII,Temperate
40088183,30001384,Autaris VII,Gas
40088210,30001384,Autaris IX,Temperate
40088532,30001390,Pakkonen III,Temperate
40088535,30001390,Pakkonen IV,Gas
40088555,30001390,Pakkonen V,Gas
40088594,30001391,Piekura V,Lava
40088604,30001391,Piekura VIII,Gas
40086737,30001361,Aurohunen I,Lava
40086739,30001361,Aurohunen II,Barren
40088627,30001391,Piekura IX,Oceanic
40086742,30001361,Aurohunen IV,Gas
40089636,30001409,Umokka V,Temperate
40089638,30001409,Umokka VI,Temperate
40089654,30001409,Umokka VIII,Temperate
40086795,30001361,Aurohunen VIII,Ice
40089661,30001409,Umokka X,Gas
40089704,30001410,Kirras IV,Temperate
40168394,30002644,Ambeke VI,Gas
40168427,30002644,Ambeke IX,Temperate
40168538,30002646,Direrie III,Temperate
40168545,30002646,Direrie V,Gas
40174478,30002749,Kausaaja II,Lava
40174481,30002749,Kausaaja IV,Temperate
40086965,30001366,Uosusuokko II,Barren
40086966,30001366,Uosusuokko III,Barren
40086968,30001366,Uosusuokko IV,Barren
40174510,30002749,Kausaaja IX,Gas
40086989,30001366,Uosusuokko VI,Gas
40087011,30001366,Uosusuokko VII,Gas
40087038,30001366,Uosusuokko VIII,Ice
40174529,30002749,Kausaaja X,Gas
40174578,30002750,Oiniken V,Temperate
40087258,30001369,Sotrentaira I,Barren
40087260,30001369,Sotrentaira III,Barren
40087262,30001369,Sotrentaira IV,Barren
40087263,30001369,Sotrentaira V,Barren
40087265,30001369,Sotrentaira VI,Gas
40087312,30001370,Ouranienen I,Barren
40174593,30002750,Oiniken VII,Gas
40176461,30002781,Halaima VIII,Gas
40087318,30001370,Ouranienen IV,Gas
40087324,30001370,Ouranienen V,Barren
40176880,30002788,Inaro V,Temperate
40087355,30001371,Erenta I,Barren
40087357,30001371,Erenta II,Storm
40087360,30001371,Erenta III,Storm
40087363,30001371,Erenta IV,Gas
40087381,30001371,Erenta V,Gas
40087404,30001371,Erenta VI,Gas
40087429,30001371,Erenta VII,Ice
40176883,30002788,Inaro VII,Gas
40176889,30002788,Inaro VIII,Temperate
40176893,30002788,Inaro IX,Gas
40177667,30002801,Suroken V,Temperate
40177671,30002801,Suroken VI,Temperate
40087689,30001375,Tsuguwa I,Lava
40178436,30002813,Tama IV,Temperate
40178473,30002813,Tama VIII,Gas
40178480,30002813,Tama IX,Oceanic
40087712,30001375,Tsuguwa IV,Gas
40087764,30001375,Tsuguwa VI,Barren
40215661,30003400,Hjortur V,Gas
40340603,30011407,Akiainavas II,Temperate
40340645,30011407,Akiainavas VII,Temperate
40087862,30001378,Ekura I,Lava
40087863,30001378,Ekura II,Barren
40087865,30001378,Ekura III,Barren
40087867,30001378,Ekura IV,Gas
40342605,30030141,Uitra III,Temperate
40342608,30030141,Uitra IV,Oceanic
40087898,30001378,Ekura VII,Gas
40087930,30001378,Ekura VIII,Barren
40342625,30030141,Uitra IX,Oceanic
40341808,30031392,Komo VI,Temperate
40341811,30031392,Komo VII,Temperate
40341817,30031392,Komo IX,Temperate
40341005,30031407,Hitanishio III,Temperate
40341007,30031407,Hitanishio IV,Temperate
40088061,30001381,Arvasaras III,Lava
40088066,30001381,Arvasaras IV,Lava
40088086,30001381,Arvasaras V,Gas
40088103,30001381,Arvasaras VI,Barren
40088106,30001381,Arvasaras VII,Ice
40088113,30001382,Akonoinen I,Plasma
40088114,30001382,Akonoinen II,Barren
40088117,30001382,Akonoinen III,Lava
40088119,30001382,Akonoinen IV,Barren
40342802,30040141,Urhinichi I,Lava
40342808,30040141,Urhinichi IV,Temperate
40342811,30040141,Urhinichi V,Temperate
40088130,30001382,Akonoinen IX,Storm
40088137,30001382,Akonoinen X,Gas
40088145,30001382,Akonoinen XI,Gas
40088168,30001384,Autaris I,Barren
40088169,30001384,Autaris II,Barren
40088170,30001384,Autaris III,Barren
40088173,30001384,Autaris IV,Barren
40088176,30001384,Autaris V,Barren
40088179,30001384,Autaris VI,Temperate
40088188,30001384,Autaris VIII,Gas
40088528,30001390,Pakkonen I,Lava
40088530,30001390,Pakkonen II,Storm
40088576,30001390,Pakkonen VI,Ice
40088581,30001390,Pakkonen VII,Ice
40088585,30001390,Pakkonen VIII,Barren
40088587,30001391,Piekura I,Barren
40088589,30001391,Piekura II,Lava
40088591,30001391,Piekura III,Barren
40088593,30001391,Piekura IV,Barren
40088598,30001391,Piekura VI,Barren
40088599,30001391,Piekura VII,Gas
40088630,30001391,Piekura X,Ice
40088634,30001391,Piekura XI,Barren
40088910,30001396,Aakari I,Barren
40088912,30001396,Aakari II,Lava
40088913,30001396,Aakari III,Barren
40088915,30001396,Aakari IV,Lava
40088917,30001396,Aakari V,Gas
40088922,30001396,Aakari VI,Oceanic
